Joao,535886,28,Fisica
Ana,345722,18,Fisica
Celia,874457,90,Engenharia
Amanda,313760,52,Engenharia
Maria,184934,62,Fisica
Celia,737525,77,Engenharia
Ana,247607,98,Matematica
Celia,194179,31,Fisica
Celia,438862,73,Computacao
Ana,966142,15,Matematica
Rodrigo,181928,13,Letras
Celia,703691,97,Engenharia
Ana,317443,73,Computacao
Rodrigo,458828,81,Engenharia
Flora,562741,14,Quimica
Rodrigo,241428,27,Computacao
Rodrigo,639350,48,Quimica
Tiago,855069,11,Administracao
Flora,143207,91,Medicina
Tiago,127507,88,Odontologia
Marcos,235108,90,Direito
Pedro,941179,68,Direito
Tiago,134280,18,Matematica
Clara,686403,54,Fisica
Jose,900106,47,Odontologia
Marcia,423900,69,Matematica
Lucia,557360,20,Quimica
Luis,834163,87,Fisica
Amanda,164107,39,Engenharia
Lara,756982,39,Odontologia
Maria,529869,18,Medicina
Maria,386321,79,Computacao
Lara,573581,85,Computacao
Pedro,475618,42,Matematica
Joao,390589,67,Letras
Celia,625401,95,Letras
Rodrigo,992978,20,Letras
Marcos,954070,68,Letras
Maria,971260,66,Matematica
Marcia,210286,98,Matematica
Zeca,779155,90,Computacao
Lucas,153988,94,Engenharia
Luisa,287903,39,Matematica
Lucas,745379,10,Computacao
Marcia,155170,27,Administracao
Celia,666591,24,Administracao
Ana,909957,59,Engenharia
Rodrigo,730737,85,Letras
Maria,691065,55,Computacao
Joao,717792,53,Fisica
Tiago,319351,61,Direito
Lara,501218,30,Quimica
Marcos,977675,79,Fisica
Rodrigo,390945,63,Matematica
Amanda,377917,93,Direito
Amanda,471189,25,Letras
Jose,274998,99,Medicina
Marcia,147695,63,Administracao
Jose,741220,50,Computacao
Marcia,671044,12,Engenharia
Tiago,537835,56,Direito
Marcia,534275,10,Engenharia
Tiago,581663,29,Administracao
Celia,314206,19,Computacao
Rodrigo,594818,61,Letras
Joao,517240,93,Administracao
Joao,844873,59,Engenharia
Maria,916710,27,Fisica
Jose,673379,10,Letras
Pedro,166725,96,Letras
Amanda,136348,49,Engenharia
Pedro,231982,43,Letras
